url,people,rate,type
https://leetcode.cn/problems/kids-with-the-greatest-number-of-candies,1308,0.846,easy
https://leetcode.cn/problems/create-a-session-bar-chart,67,0.641,easy
https://leetcode.cn/problems/destination-city,797,0.817,easy
https://leetcode.cn/problems/check-if-all-1s-are-at-least-length-k-places-away,276,0.556,easy
https://leetcode.cn/problems/consecutive-characters,829,0.602,easy
https://leetcode.cn/problems/number-of-students-doing-homework-at-a-given-time,710,0.823,easy
https://leetcode.cn/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,722,0.646,easy
https://leetcode.cn/problems/make-two-arrays-equal-by-reversing-subarrays,776,0.772,easy
https://leetcode.cn/problems/maximum-product-of-two-elements-in-an-array,905,0.782,easy
https://leetcode.cn/problems/find-all-the-lonely-nodes,142,0.821,easy
https://leetcode.cn/problems/shuffle-the-array,1197,0.839,easy
https://leetcode.cn/problems/delete-n-nodes-after-m-nodes-of-a-linked-list,120,0.7,easy
https://leetcode.cn/problems/final-prices-with-a-special-discount-in-a-shop,904,0.736,easy
https://leetcode.cn/problems/running-sum-of-1d-array,2628,0.764,easy
https://leetcode.cn/problems/group-sold-products-by-the-date,365,0.684,easy
https://leetcode.cn/problems/xor-operation-in-an-array,831,0.844,easy
https://leetcode.cn/problems/average-salary-excluding-the-minimum-and-maximum-salary,746,0.625,easy
https://leetcode.cn/problems/friendly-movies-streamed-last-month,59,0.529,easy
https://leetcode.cn/problems/path-crossing,271,0.54,easy
https://leetcode.cn/problems/can-make-arithmetic-progression-from-sequence,662,0.688,easy
https://leetcode.cn/problems/reformat-date,229,0.597,easy
https://leetcode.cn/problems/customer-order-frequency,118,0.632,easy
https://leetcode.cn/problems/number-of-good-pairs,1046,0.834,easy
https://leetcode.cn/problems/find-users-with-valid-e-mails,123,0.53,easy
https://leetcode.cn/problems/water-bottles,937,0.695,easy
https://leetcode.cn/problems/count-odd-numbers-in-an-interval-range,772,0.495,easy
https://leetcode.cn/problems/patients-with-a-condition,317,0.468,easy
https://leetcode.cn/problems/shuffle-string,508,0.787,easy
https://leetcode.cn/problems/count-good-triplets,297,0.751,easy
https://leetcode.cn/problems/kth-missing-positive-number,613,0.542,easy
https://leetcode.cn/problems/fix-product-name-format,59,0.552,easy
https://leetcode.cn/problems/make-the-string-great,479,0.563,easy
https://leetcode.cn/problems/three-consecutive-odds,416,0.658,easy
https://leetcode.cn/problems/thousand-separator,318,0.563,easy
https://leetcode.cn/problems/most-visited-sector-in-a-circular-track,139,0.578,easy
https://leetcode.cn/problems/unique-orders-and-customers-per-month,60,0.744,easy
https://leetcode.cn/problems/detect-pattern-of-length-m-repeated-k-or-more-times,197,0.445,easy
https://leetcode.cn/problems/warehouse-manager,105,0.78,easy
https://leetcode.cn/problems/matrix-diagonal-sum,818,0.83,easy
